year,month,day,freq
2018,9,25,913
2018,9,18,828
2018,9,11,759
2018,9,19,941
2018,10,1,642
2018,9,24,916
2018,8,19,491
2018,9,12,800
2018,9,17,976
2018,9,13,852
2018,6,22,1084
2018,6,28,1402
2018,7,1,600
2018,6,30,489
2018,9,10,934
2018,9,9,512
2018,8,25,531
2018,9,23,742
2018,9,20,984
2018,9,28,732
2018,9,21,1171
2018,9,16,891
2018,9,22,694
2018,9,15,502
2018,9,29,917
2018,8,18,426
2018,9,14,935
2018,9,30,495
2018,1,4,686
2018,1,5,622
2018,1,6,535
2018,1,7,507
2018,9,26,1610
2018,9,27,739
2018,7,15,364
2018,7,9,1477
2018,9,8,170
2018,5,26,376
2018,6,4,1154
2018,7,8,697
2018,3,4,270
2018,1,16,525
2018,1,19,655
2018,1,18,577
2018,1,17,507
2018,1,20,432
2018,1,15,498
2018,1,28,285
2018,1,11,642
2018,2,1,703
2018,1,29,621
2018,1,27,466
2018,1,12,910
2018,1,26,666
2018,1,31,847
2018,1,9,582
2018,1,22,512
2018,1,10,641
2018,1,13,367
2018,1,14,362
2018,1,21,508
2018,2,20,524
2018,2,19,504
2018,2,17,246
2018,2,9,515
2018,1,24,532
2018,1,25,337
2018,1,23,548
2018,1,30,508
2018,1,8,632
2019,1,2,1125
2018,1,2,354
2018,1,1,7246
2018,1,3,421
2020,9,28,107
2020,10,26,63
2020,11,24,135
2020,9,8,120
2020,11,23,407
2020,11,11,45
2020,9,18,107
2020,9,24,108
2020,11,27,169
2020,9,2,55
2020,9,21,200
2020,10,29,83
2020,11,19,100
2020,9,7,33
2020,9,22,97
2020,9,16,114
2020,9,14,102
2020,9,23,214
2020,11,22,266
2020,10,1,136
2020,9,30,62
2020,10,19,35
2020,9,9,117
2020,11,20,203
2020,10,21,43
2020,9,17,226
2020,9,19,49
2020,9,29,128
2020,10,22,183
2020,11,28,19
2020,10,17,8
2020,10,13,35
2020,10,14,81
2020,10,15,41
2020,9,3,80
2020,11,29,140
2020,11,17,35
2020,11,18,307
2020,9,20,28
2020,9,27,41
2020,10,7,35
2020,9,1,43
2020,10,12,141
2020,10,6,83
2020,9,11,105
2020,10,30,101
2020,10,28,56
2020,10,8,125
2020,9,25,99
2020,11,12,29
2020,10,25,208
2020,9,15,94
2020,10,2,51
2020,10,3,5
2020,10,5,48
2020,11,10,6
2020,11,6,26
2020,11,26,384
2020,10,10,22
2020,10,9,192
2020,10,11,19
2020,11,1,5
2020,9,26,60
2020,11,2,71
2020,9,10,39
2020,10,24,231
2020,11,25,109
2020,11,21,37
2020,11,3,14
2020,10,16,27
2020,11,16,39
2017,10,4,3828
2017,10,9,2306
2017,10,5,5441
2017,12,23,1360
2017,11,8,2887
2017,11,3,1915
2017,12,16,1099
2017,9,21,1566
2017,11,17,2162
2017,10,2,1433
2017,11,13,2551
2017,11,21,3531
2017,11,12,2896
2017,10,18,2126
2017,11,20,2250
2017,11,16,2642
2017,11,18,1618
2017,10,30,1614
2017,10,21,1340
2017,11,15,2008
2017,9,12,1898
2017,10,1,589
2017,9,13,1371
2017,9,6,2009
2017,10,31,1714
2017,9,11,3471
2017,8,29,2748
2017,9,4,2452
2017,9,8,2316
2017,9,2,605
2017,9,1,1198
2017,10,10,3241
2017,10,20,2640
2017,9,26,914
2017,8,24,733
2017,10,22,1025
2017,10,23,1518
2017,9,30,769
2017,9,27,1175
2017,10,26,2530
2017,10,13,2995
2017,11,30,3911
2017,12,15,2012
2017,12,14,1428
2017,11,22,3094
2017,12,10,1303
2017,11,24,2475
2017,12,6,2548
2017,11,26,2195
2017,11,25,1397
2017,11,23,3783
2017,12,13,1969
2017,12,4,2518
2017,12,19,3445
2017,10,25,1828
2017,9,29,1576
2017,10,3,2285
2017,11,2,2110
2017,9,18,1279
2017,9,3,400
2017,10,17,2231
2017,9,14,1549
2017,9,15,1860
2017,10,19,2035
2017,9,19,2027
2017,9,28,1783
2017,9,24,603
2017,10,29,1357
2017,10,7,1087
2017,11,10,2301
2017,11,11,1514
2017,11,4,1060
2017,10,15,1030
2017,9,16,1037
2017,10,28,1943
2017,9,20,1008
2017,9,10,1005
2017,11,14,2287
2017,11,6,2667
2017,10,27,1947
2017,10,16,3279
2017,10,11,2323
2017,11,9,2304
2017,10,6,1904
2017,9,17,532
2017,11,7,2100
2017,8,31,1561
2017,8,28,1037
2017,9,7,1940
2017,10,24,2290
2017,12,21,2429
2017,12,26,1380
2017,12,8,2908
